?x	?label
<http://purl.obolibrary.org/obo/OBI_1110054>	"autoimmune disease"
<http://purl.obolibrary.org/obo/OGMS_0000045>	"disorder"
<http://purl.obolibrary.org/obo/OGMS_0000047>	"genetic disorder"
<http://purl.obolibrary.org/obo/OGMS_0000102>	"injury"
<http://purl.obolibrary.org/obo/OHD_0000002>	"dental procedure"
<http://purl.obolibrary.org/obo/OHD_0000004>	"tooth restoration procedure"
<http://purl.obolibrary.org/obo/OHD_0000043>	"dentin hypersensitivity"
<http://purl.obolibrary.org/obo/OHD_0000260>	"tooth disorder"
<http://purl.obolibrary.org/obo/OHD_0000414>	"mouth disorder"
<http://purl.obolibrary.org/obo/OHD_0010009>	"sensory hypersensitivity"
<http://purl.obolibrary.org/obo/OHD_0010011>	"dental sensory hypersensitivity"
<http://purl.obolibrary.org/obo/OHD_0010012>	"sensory hypersensitivity due to crack in enamel"
<http://purl.obolibrary.org/obo/OHD_0010014>	"dentin hypersensitivity due to exposed dentin"
<http://purl.obolibrary.org/obo/OHD_0010016>	"dentin hypersensitivity due to tooth wear or abrasion"
<http://purl.obolibrary.org/obo/OHD_0010018>	"dentin hypersensitivity due to a fracture resulting in exposed dentin"
<http://purl.obolibrary.org/obo/OHD_0010020>	"reversible pulpitis"
<http://purl.obolibrary.org/obo/OHD_0010021>	"periodontitis due to operation"
<http://purl.obolibrary.org/obo/OHD_0010025>	"gingivitis"
<http://purl.obolibrary.org/obo/OHD_0010026>	"gingivitis due to infection"
<http://purl.obolibrary.org/obo/OHD_0010028>	"exposed dental pulp"
<http://purl.obolibrary.org/obo/OHD_0010029>	"gingivitis due to bacterial infection"
<http://purl.obolibrary.org/obo/OHD_0010031>	"viral infection"
<http://purl.obolibrary.org/obo/OHD_0010032>	"gingivitis due to viral infection"
<http://purl.obolibrary.org/obo/OHD_0010034>	"fungal infection"
<http://purl.obolibrary.org/obo/OHD_0010035>	"gingivitis due to fungal infection"
<http://purl.obolibrary.org/obo/OHD_0010042>	"oral mucosal inflammation"
<http://purl.obolibrary.org/obo/OHD_0010043>	"oral mucosal inflammation due to infection"
<http://purl.obolibrary.org/obo/OHD_0010044>	"oral mucosal inflammation due to bacterial infection"
<http://purl.obolibrary.org/obo/OHD_0010046>	"oral mucosal inflammation due to viral infection"
<http://purl.obolibrary.org/obo/OHD_0010048>	"oral mucosal inflammation due to fungal infection"
<http://purl.obolibrary.org/obo/OHD_0010054>	"gingivitis due to injury"
<http://purl.obolibrary.org/obo/OHD_0010056>	"oral mucosal inflammation due to injury"
<http://purl.obolibrary.org/obo/OHD_0010060>	"pulpitis"
<http://purl.obolibrary.org/obo/OHD_0010064>	"irreversible pulpitis"
<http://purl.obolibrary.org/obo/OHD_0010066>	"reversible pulpitis due to dentin infection"
<http://purl.obolibrary.org/obo/OHD_0010068>	"irreversible pulpitis due to dentin infection"
<http://purl.obolibrary.org/obo/OHD_0010070>	"periodontitis"
<http://purl.obolibrary.org/obo/OHD_0010072>	"periodontitis due to injury"
<http://purl.obolibrary.org/obo/OHD_0010075>	"dentin hypersensitivity due to developmental dental hard tissue defect"
<http://purl.obolibrary.org/obo/OHD_0010080>	"reversible pulpitis due to dental caries not extending to the pulp"
<http://purl.obolibrary.org/obo/OHD_0010082>	"reversible pulpitis due to dental hard tissue fracture with exposed dentin"
<http://purl.obolibrary.org/obo/OHD_0010088>	"apical periodontitis"
<http://purl.obolibrary.org/obo/OHD_0010090>	"apical periodontitis due to endodontic disease"
<http://purl.obolibrary.org/obo/OHD_0010092>	"exposed dental pulp due to dental injury"
<http://purl.obolibrary.org/obo/OHD_0010096>	"bacterial infection"
<http://purl.obolibrary.org/obo/OHD_0010098>	"irreversible pulpitis due to dental pulp infection"
<http://purl.obolibrary.org/obo/OHD_0010100>	"periodontal disease"
<http://purl.obolibrary.org/obo/OHD_0010103>	"chronic periodontitis"
<http://purl.obolibrary.org/obo/OHD_0010107>	"reversible pulpitis due to tooth crack without evidence of missing tooth substance"
<http://purl.obolibrary.org/obo/OHD_0010110>	"periodontal disease due to aggressive periodontitis"
<http://purl.obolibrary.org/obo/OHD_0010113>	"periodontal disease due to necrotizing ulcerative periodontitis"
<http://purl.obolibrary.org/obo/OHD_0010115>	"gingival disorder"
<http://purl.obolibrary.org/obo/OHD_0010116>	"oral mucosal disorder"
<http://purl.obolibrary.org/obo/OHD_0010117>	"periodontal disorder"
<http://purl.obolibrary.org/obo/OHD_0010143>	"hyperocclusion"
<http://purl.obolibrary.org/obo/OHD_0010144>	"hyperarticulation"
<http://purl.obolibrary.org/obo/OHD_0010145>	"hyperocclusion following dental restorative procedure"
<http://purl.obolibrary.org/obo/OHD_0010146>	"hyperarticulation following dental restorative procedure"
<http://purl.obolibrary.org/obo/OHD_0010148>	"dental injury"
<http://purl.obolibrary.org/obo/OHD_0010151>	"irreversible pulpitis due to dental hard tissue fracture without pulp exposure"
<http://purl.obolibrary.org/obo/OHD_0010153>	"reversible pulpitis due to tooth crack"
<http://purl.obolibrary.org/obo/OHD_0010154>	"irreversible pulpitis due to dental hard tissue fracture"
<http://purl.obolibrary.org/obo/OHD_0010155>	"reversible pulpitis due to dental hard tissue fracture"
<http://purl.obolibrary.org/obo/OHD_0010157>	"reversible pulpitis due to dental caries"
<http://purl.obolibrary.org/obo/OHD_0010159>	"irreversible pulpitis due to tooth crack"
<http://purl.obolibrary.org/obo/OHD_0010160>	"irreversible pulpitis due to tooth crack without evidence of missing tooth substance"
<http://purl.obolibrary.org/obo/OHD_0010163>	"irreversible pulpitis due to dental hard tissue fracture with pulp exposure"
<http://purl.obolibrary.org/obo/OHD_0010165>	"external cervical root resorption process"
<http://purl.obolibrary.org/obo/OHD_0010172>	"endodontic infection"
<http://purl.obolibrary.org/obo/OHD_0010174>	"intraradicular endodontic infection"
<http://purl.obolibrary.org/obo/OHD_0010176>	"extraradicular endodontic infection"
<http://purl.obolibrary.org/obo/OHD_0010180>	"hematological disorder due to infectious disorder"
<http://purl.obolibrary.org/obo/OHD_0010183>	"periodontal abscess"
<http://purl.obolibrary.org/obo/OHD_0010184>	"malignant lesion"
<http://purl.obolibrary.org/obo/OHD_0010187>	"hematological disorder"
<http://purl.obolibrary.org/obo/OHD_0010188>	"peri-implantitis"
<http://purl.obolibrary.org/obo/OHD_0010189>	"infective peri-implantitis"
<http://purl.obolibrary.org/obo/OHD_0010194>	"irreversible pulpitis due to carious pulp exposure and dental pulp infection"
<http://purl.obolibrary.org/obo/OHD_0010197>	"oral mucosal inflammation due to non-iatrogenic injury"
<http://purl.obolibrary.org/obo/OHD_0010199>	"oral mucosal inflammation due to radiation or chemotherapy"
<http://purl.obolibrary.org/obo/OHD_0010202>	"salivary gland disorder"
<http://purl.obolibrary.org/obo/OHD_0010203>	"parotid disorder"
<http://purl.obolibrary.org/obo/OHD_0010204>	"parotitis"
<http://purl.obolibrary.org/obo/OHD_0010205>	"recurrent juvenile parotitis"
<http://purl.obolibrary.org/obo/OHD_0010208>	"local benign lesion"
<http://purl.obolibrary.org/obo/OHD_0010210>	"local malignancy"
<http://purl.obolibrary.org/obo/OHD_0010212>	"remote malignancy"
<http://purl.obolibrary.org/obo/OHD_0010220>	"chronic frequent pain"
<http://purl.obolibrary.org/obo/OHD_0010221>	"chronic infrequent pain"
<http://purl.obolibrary.org/obo/OHD_0010222>	"chronic frequent pain with pain referral"
<http://purl.obolibrary.org/obo/OHD_0010223>	"chronic frequent pain without pain referral"
<http://purl.obolibrary.org/obo/OHD_0010226>	"chronic highly frequent pain"
<http://purl.obolibrary.org/obo/OHD_0010229>	"chronic highly frequent pain without pain referral"
<http://purl.obolibrary.org/obo/OHD_0010230>	"chronic highly frequent pain with pain referral"
<http://purl.obolibrary.org/obo/OHD_0010289>	"inflammation"
<http://purl.obolibrary.org/obo/OHD_0010291>	"tendonitis"
<http://purl.obolibrary.org/obo/OHD_0010305>	"myositis"
<http://purl.obolibrary.org/obo/OHD_0010306>	"inflammatory arthritis"
<http://purl.obolibrary.org/obo/OHD_0010307>	"non-systemic inflammatory arthritis"
<http://purl.obolibrary.org/obo/OHD_0010308>	"systemic inflammatory arthritis"
<http://purl.obolibrary.org/obo/OHD_0010309>	"degenerative joint disease"
<http://purl.obolibrary.org/obo/PAIN_0000000>	"temporomandibular joint pain"
<http://purl.obolibrary.org/obo/PAIN_0000001>	"concomitant continuous pain"
<http://purl.obolibrary.org/obo/PAIN_0000036>	"pain"
<http://purl.obolibrary.org/obo/PAIN_0000037>	"idiopathic pain"
<http://purl.obolibrary.org/obo/PAIN_0000038>	"episodic pain"
<http://purl.obolibrary.org/obo/PAIN_0000040>	"chronic pain"
<http://purl.obolibrary.org/obo/PAIN_0000044>	"neuropathic pain"
<http://purl.obolibrary.org/obo/PAIN_0000045>	"damaged neural tissue"
<http://purl.obolibrary.org/obo/PAIN_0000053>	"acute pain"
<http://purl.obolibrary.org/obo/PAIN_0000054>	"referred pain"
<http://purl.obolibrary.org/obo/PAIN_0000056>	"localized pain"
<http://purl.obolibrary.org/obo/PAIN_0000089>	"head pain"
<http://purl.obolibrary.org/obo/PAIN_0000090>	"orofacial pain"
<http://purl.obolibrary.org/obo/PAIN_0000101>	"continuous pain"
<http://purl.obolibrary.org/obo/PAIN_0000110>	"facial pain"
<http://purl.obolibrary.org/obo/PAIN_0000115>	"jaw pain"
<http://purl.obolibrary.org/obo/PAIN_0000127>	"idiopathic"
<http://purl.obolibrary.org/obo/PAIN_0000128>	"temporally specified pain"
<http://purl.obolibrary.org/obo/PAIN_0000130>	"spatially specified pain"
<http://purl.obolibrary.org/obo/PAIN_0000132>	"neurobiological pain process"
<http://purl.obolibrary.org/obo/PAIN_0010001>	"dental pain"
<http://purl.obolibrary.org/obo/PAIN_0010002>	"pulpal pain"
<http://purl.obolibrary.org/obo/PAIN_0010003>	"myofascial orofacial pain"
<http://purl.obolibrary.org/obo/PAIN_0010005>	"periodontal pain"
<http://purl.obolibrary.org/obo/PAIN_0010006>	"gingival pain"
<http://purl.obolibrary.org/obo/PAIN_0010007>	"jaw bone pain"
<http://purl.obolibrary.org/obo/PAIN_0010008>	"pulpal pain due to hypersensitivity"
<http://purl.obolibrary.org/obo/PAIN_0010013>	"pulpal pain due to crack in enamel"
<http://purl.obolibrary.org/obo/PAIN_0010015>	"pulpal pain due to exposed dentin"
<http://purl.obolibrary.org/obo/PAIN_0010017>	"pulpal pain due to tooth wear or abrasion"
<http://purl.obolibrary.org/obo/PAIN_0010019>	"pulpal pain due to a fracture resulting in exposed dentin"
<http://purl.obolibrary.org/obo/PAIN_0010022>	"oral mucosal pain"
<http://purl.obolibrary.org/obo/PAIN_0010023>	"salivary gland pain"
<http://purl.obolibrary.org/obo/PAIN_0010024>	"gingival pain due to gingivitis"
<http://purl.obolibrary.org/obo/PAIN_0010027>	"gingival pain due to infection"
<http://purl.obolibrary.org/obo/PAIN_0010030>	"gingival pain due to bacterial infection"
<http://purl.obolibrary.org/obo/PAIN_0010033>	"gingival pain due to viral infection"
<http://purl.obolibrary.org/obo/PAIN_0010036>	"gingival pain due to fungal infection"
<http://purl.obolibrary.org/obo/PAIN_0010037>	"salivary gland pain due to infection"
<http://purl.obolibrary.org/obo/PAIN_0010038>	"salivary gland pain due to bacterial infection"
<http://purl.obolibrary.org/obo/PAIN_0010039>	"salivary gland pain due to viral infection"
<http://purl.obolibrary.org/obo/PAIN_0010040>	"oral mucosal pain due to infection"
<http://purl.obolibrary.org/obo/PAIN_0010041>	"oral mucosal pain due to oral mucosal inflammation"
<http://purl.obolibrary.org/obo/PAIN_0010045>	"oral mucosal pain due to bacterial infection"
<http://purl.obolibrary.org/obo/PAIN_0010047>	"oral mucosal pain due to viral infection"
<http://purl.obolibrary.org/obo/PAIN_0010049>	"oral mucosal pain due to fungal infection"
<http://purl.obolibrary.org/obo/PAIN_0010050>	"jaw bone pain due to infection"
<http://purl.obolibrary.org/obo/PAIN_0010051>	"jaw bone pain due to bacterial infection"
<http://purl.obolibrary.org/obo/PAIN_0010052>	"jaw bone pain due to viral infection"
<http://purl.obolibrary.org/obo/PAIN_0010053>	"jaw bone pain due to fungal infection"
<http://purl.obolibrary.org/obo/PAIN_0010055>	"gingival pain due to injury"
<http://purl.obolibrary.org/obo/PAIN_0010057>	"oral mucosal pain due to injury"
<http://purl.obolibrary.org/obo/PAIN_0010058>	"jaw bone pain due to injury"
<http://purl.obolibrary.org/obo/PAIN_0010059>	"pain due to lesion or disease of the trigeminal nerve"
<http://purl.obolibrary.org/obo/PAIN_0010061>	"pulpal pain due to pulpitis"
<http://purl.obolibrary.org/obo/PAIN_0010067>	"pulpal pain due to reversible pulpitis resulting from a dentin infection"
<http://purl.obolibrary.org/obo/PAIN_0010069>	"pulpal pain due to irreversible pulpitis resulting from a dentin infection"
<http://purl.obolibrary.org/obo/PAIN_0010071>	"periodontal pain due to periodontitis"
<http://purl.obolibrary.org/obo/PAIN_0010073>	"periodontal pain due to injury-induced periodontitis"
<http://purl.obolibrary.org/obo/PAIN_0010076>	"pulpal pain due to developmental dental hard tissue defect"
<http://purl.obolibrary.org/obo/PAIN_0010078>	"pulpal pain due to dental procedure"
<http://purl.obolibrary.org/obo/PAIN_0010081>	"pulpal pain due to reversible pulpitis resulting from caries not extending to the pulp"
<http://purl.obolibrary.org/obo/PAIN_0010083>	"pulpal pain due to reversible pulpitis resulting from dental hard-tissue defect with exposed dentin"
<http://purl.obolibrary.org/obo/PAIN_0010086>	"pulpal due to irreversible pulpitis resulting from caries extending to the pulp"
<http://purl.obolibrary.org/obo/PAIN_0010087>	"postoperative periodontal pain"
<http://purl.obolibrary.org/obo/PAIN_0010091>	"periodontal pain due to apical periodontitis resulting from endodontic disease"
<http://purl.obolibrary.org/obo/PAIN_0010093>	"pulpal pain due to pulp exposure resulting from dental trauma"
<http://purl.obolibrary.org/obo/PAIN_0010099>	"pulpal pain due to irreversible pulpitis resulting from an infection of the dental pulp"
<http://purl.obolibrary.org/obo/PAIN_0010102>	"periodontal pain due to periodontal disease"
<http://purl.obolibrary.org/obo/PAIN_0010105>	"periodontal pain due to chronic periodontitis"
<http://purl.obolibrary.org/obo/PAIN_0010106>	"pulpal pain due to placement of a restoration"
<http://purl.obolibrary.org/obo/PAIN_0010108>	"pulpal pain due to reversible pulpitis resulting from tooth crack without evidence of missing tooth substance."
<http://purl.obolibrary.org/obo/PAIN_0010111>	"periodontal pain due to aggressive periodontitis"
<http://purl.obolibrary.org/obo/PAIN_0010114>	"periodontal pain due to necrotizing ulcerative periodontitis"
<http://purl.obolibrary.org/obo/PAIN_0010118>	"primary temporomandibular joint pain"
<http://purl.obolibrary.org/obo/PAIN_0010119>	"acute primary temporomandibular joint pain"
<http://purl.obolibrary.org/obo/PAIN_0010120>	"chronic primary temporomandibular joint pain"
<http://purl.obolibrary.org/obo/PAIN_0010121>	"chronic infrequent primary temporomandibular joint pain"
<http://purl.obolibrary.org/obo/PAIN_0010122>	"chronic frequent primary temporomandibular joint pain"
<http://purl.obolibrary.org/obo/PAIN_0010123>	"chronic frequent primary temporomandibular joint pain without pain referral"
<http://purl.obolibrary.org/obo/PAIN_0010124>	"chronic frequent primary temporomandibular joint pain with pain referral"
<http://purl.obolibrary.org/obo/PAIN_0010125>	"chronic highly frequent primary temporomandibular joint pain"
<http://purl.obolibrary.org/obo/PAIN_0010126>	"chronic highly frequent primary temporomandibular joint pain without pain referral"
<http://purl.obolibrary.org/obo/PAIN_0010127>	"chronic highly frequent primary temporomandibular joint pain with pain referral"
<http://purl.obolibrary.org/obo/PAIN_0010128>	"secondary temporomandibular joint pain"
<http://purl.obolibrary.org/obo/PAIN_0010129>	"trigeminal neuralgic pain"
<http://purl.obolibrary.org/obo/PAIN_0010130>	"classic trigeminal neuralgia"
<http://purl.obolibrary.org/obo/PAIN_0010131>	"secondary trigeminal neuralgia"
<http://purl.obolibrary.org/obo/PAIN_0010132>	"pain due to lesion or disease of the glossopharyngeal nerve"
<http://purl.obolibrary.org/obo/PAIN_0010133>	"glossopharyngeal neuralgia"
<http://purl.obolibrary.org/obo/PAIN_0010134>	"classical glossopharyngeal neuralgia"
<http://purl.obolibrary.org/obo/PAIN_0010135>	"secondary glossopharyngeal neuralgia"
<http://purl.obolibrary.org/obo/PAIN_0010136>	"idiopathic glossopharyngeal neuralgia"
<http://purl.obolibrary.org/obo/PAIN_0010137>	"pulpal pain due to hyperocclusion or hyperarticulation following dental restorative procedure"
<http://purl.obolibrary.org/obo/PAIN_0010138>	"pulpal pain due to hyperocclusion following dental restorative procedure"
<http://purl.obolibrary.org/obo/PAIN_0010139>	"pulpal pain due to hyperarticulation following dental restorative procedure"
<http://purl.obolibrary.org/obo/PAIN_0010142>	"orofacial pain due to lesion or disease of the cranial nerves"
<http://purl.obolibrary.org/obo/PAIN_0010147>	"pulpal pain due to extensive removal of dentin"
<http://purl.obolibrary.org/obo/PAIN_0010152>	"pulpal pain due to irreversible pulpitis resulting from a dental hard-tissue fracture without pulp exposure"
<http://purl.obolibrary.org/obo/PAIN_0010161>	"pulpal pain due to irreversible pulpitis resulting from tooth crack without evidence of missing tooth substance"
<http://purl.obolibrary.org/obo/PAIN_0010164>	"pulpal pain due to irreversible pulpitis resulting from a dental hard-tissue fracture with pulp exposure"
<http://purl.obolibrary.org/obo/PAIN_0010166>	"pulpal pain due to pulpitis resulting from an external cervical root resorption"
<http://purl.obolibrary.org/obo/PAIN_0010167>	"periodontal pain due to hyperocclusion or hyperarticulation"
<http://purl.obolibrary.org/obo/PAIN_0010168>	"periodontal pain due to hyperocclusion"
<http://purl.obolibrary.org/obo/PAIN_0010169>	"periodontal pain due to hyperarticulation"
<http://purl.obolibrary.org/obo/PAIN_0010170>	"periodontal pain due to accidental dental injury"
<http://purl.obolibrary.org/obo/PAIN_0010171>	"periodontal pain due to pulpal inflammation"
<http://purl.obolibrary.org/obo/PAIN_0010173>	"periodontal pain due to endodontic infection"
<http://purl.obolibrary.org/obo/PAIN_0010175>	"periodontal pain due to intraradicular endodontic infection"
<http://purl.obolibrary.org/obo/PAIN_0010177>	"periodontal pain due to extraradicular endodontic infection"
<http://purl.obolibrary.org/obo/PAIN_0010178>	"periodontal pain due to periodontitis as a manifestation of a systemic disorder"
<http://purl.obolibrary.org/obo/PAIN_0010179>	"periodontal pain due to genetic disorder"
<http://purl.obolibrary.org/obo/PAIN_0010181>	"periodontal pain due to haematological disorder"
<http://purl.obolibrary.org/obo/PAIN_0010182>	"periodontal pain due to periodontal abscess"
<http://purl.obolibrary.org/obo/PAIN_0010185>	"gingival pain due to malignant lesion"
<http://purl.obolibrary.org/obo/PAIN_0010186>	"oral mucosal, salivary gland and jaw bone pains"
<http://purl.obolibrary.org/obo/PAIN_0010190>	"periodontal pain due to infective peri-implantitis"
<http://purl.obolibrary.org/obo/PAIN_0010192>	"periodontal pain due to apical and marginal periodontitis resulting from combined endodontic infection and periodontal disease"
<http://purl.obolibrary.org/obo/PAIN_0010195>	"pulpal pain due to irreversible pulpitis resulting from carious pulp exposure and infection of the pulp"
<http://purl.obolibrary.org/obo/PAIN_0010198>	"oral mucosal pain due to non-iatrogenic injury"
<http://purl.obolibrary.org/obo/PAIN_0010200>	"oral mucosal pain due to radiation or chemotherapy"
<http://purl.obolibrary.org/obo/PAIN_0010201>	"oral mucosal pain due to malignant lesion"
<http://purl.obolibrary.org/obo/PAIN_0010206>	"salivary gland pain due to recurrent juvenile parotitis"
<http://purl.obolibrary.org/obo/PAIN_0010207>	"jaw bone pain due to malignant lesion"
<http://purl.obolibrary.org/obo/PAIN_0010209>	"jaw bone pain due to local benign lesion"
<http://purl.obolibrary.org/obo/PAIN_0010211>	"jaw bone pain due to local malignancy"
<http://purl.obolibrary.org/obo/PAIN_0010213>	"jaw bone pain due to remote malignancy"
<http://purl.obolibrary.org/obo/PAIN_0010214>	"jaw bone pain due to therapy"
<http://purl.obolibrary.org/obo/PAIN_0010215>	"primary myofascial orofacial pain"
<http://purl.obolibrary.org/obo/PAIN_0010216>	"acute primary myofascial orofacial pain"
<http://purl.obolibrary.org/obo/PAIN_0010217>	"chronic primary myofascial orofacial pain"
<http://purl.obolibrary.org/obo/PAIN_0010218>	"chronic infrequent primary myofascial orofacial pain"
<http://purl.obolibrary.org/obo/PAIN_0010219>	"chronic frequent primary myofascial orofacial pain"
<http://purl.obolibrary.org/obo/PAIN_0010224>	"chronic frequent primary myofascial orofacial pain without pain referral"
<http://purl.obolibrary.org/obo/PAIN_0010225>	"chronic frequent primary myofascial orofacial pain with pain referral"
<http://purl.obolibrary.org/obo/PAIN_0010227>	"chronic highly frequent primary myofascial orofacial pain"
<http://purl.obolibrary.org/obo/PAIN_0010228>	"chronic highly frequent primary myofascial orofacial pain without pain referral"
<http://purl.obolibrary.org/obo/PAIN_0010231>	"chronic highly frequent primary myofascial orofacial pain with pain referral"
<http://purl.obolibrary.org/obo/PAIN_0010232>	"secondary myofascial orofacial pain"
<http://purl.obolibrary.org/obo/PAIN_0010233>	"myofascial orofacial pain attributed to tendonitis"
<http://purl.obolibrary.org/obo/PAIN_0010234>	"myofascial orofacial pain attributed to myositis"
<http://purl.obolibrary.org/obo/PAIN_0010235>	"myofascial orofacial pain attributed to muscle spasm"
<http://purl.obolibrary.org/obo/PAIN_0010236>	"temporomandibular joint pain attributed to arthritis"
<http://purl.obolibrary.org/obo/PAIN_0010237>	"temporomandibular joint pain attributed to non-systemic arthritis"
<http://purl.obolibrary.org/obo/PAIN_0010238>	"temporomandibular joint pain attributed to systemic arthritis"
<http://purl.obolibrary.org/obo/PAIN_0010239>	"temporomandibular joint pain attributed to disc displacement"
<http://purl.obolibrary.org/obo/PAIN_0010240>	"temporomandibular joint pain attributed to disc displacement with reduction"
<http://purl.obolibrary.org/obo/PAIN_0010241>	"temporomandibular joint pain attributed to disc displacement with reduction, with intermittent locking"
<http://purl.obolibrary.org/obo/PAIN_0010242>	"temporomandibular joint pain attributed to disc displacement without reduction"
<http://purl.obolibrary.org/obo/PAIN_0010243>	"temporomandibular joint pain due to degenerative joint disease"
<http://purl.obolibrary.org/obo/PAIN_0010244>	"temporomandibular joint pain due to subluxation"
<http://purl.obolibrary.org/obo/PAIN_0010245>	"idiopathic trigeminal neuralgia"
<http://purl.obolibrary.org/obo/PAIN_0010246>	"trigeminal neuralgia due to multiple sclerosis"
<http://purl.obolibrary.org/obo/PAIN_0010247>	"trigeminal neuralgia due to space-occupying lesion"
<http://purl.obolibrary.org/obo/PAIN_0010249>	"classical trigeminal neuralgia with concomitant continuous pain"
<http://purl.obolibrary.org/obo/PAIN_0010250>	"idiopathic trigeminal neuralgia with concomitant continuous pain"
<http://purl.obolibrary.org/obo/PAIN_0010253>	"glossopharyngeal neuropathic pain"
<http://purl.obolibrary.org/obo/PAIN_0010254>	"idiopathic glossopharyngeal neuropathic pain"
<http://purl.obolibrary.org/obo/PAIN_0010255>	"orofacial pain with headache presentation"
<http://purl.obolibrary.org/obo/PAIN_0010256>	"orofacial migraine"
<http://purl.obolibrary.org/obo/PAIN_0010257>	"episodic orofacial migraine"
<http://purl.obolibrary.org/obo/PAIN_0010258>	"chronic orofacial migraine"
<http://purl.obolibrary.org/obo/PAIN_0010259>	"tension-type orofacial pain"
<http://purl.obolibrary.org/obo/PAIN_0010260>	"trigeminal autonomic orofacial pain"
<http://purl.obolibrary.org/obo/PAIN_0010261>	"orofacial cluster attacks"
<http://purl.obolibrary.org/obo/PAIN_0010262>	"episodic orofacial cluster attacks"
<http://purl.obolibrary.org/obo/PAIN_0010263>	"chronic orofacial cluster attacks"
<http://purl.obolibrary.org/obo/PAIN_0010264>	"paroxysmal hemifacial pain"
<http://purl.obolibrary.org/obo/PAIN_0010265>	"episodic paroxysmal hemifacial pain"
